"FECHA","HORA","CO","CO2","NO","NO2","NOX","O3","PM10","PM25","TMP","RH","WSP","WDR"
"01/01/2021",1,0.5,2,3,30,33,12,42,29,9.7,32,1.9,37
"01/01/2021",2,0.48,3,2,26,28,13,58,43,9,37,2.5,38
"01/01/2021",3,0.6,2,3,32,35,6,59,41,8.2,44,1.5,23
"01/01/2021",4,0.61,2,5,33,38,4,64,46,7.5,49,1.4,26
"01/01/2021",5,0.63,2,5,32,37,4,67,49,6.8,54,1.8,31
"01/01/2021",6,0.67,2,7,29,36,3,52,39,5.3,51,1.4,317
"01/01/2021",7,0.53,1,4,27,31,4,49,37,4.4,51,2.3,318
"01/01/2021",8,0.51,1,5,24,29,7,45,33,4.3,50,2.2,316
"01/01/2021",9,0.6,2,11,21,33,17,56,43,7.9,42,0.8,18
"01/01/2021",10,0.61,2,11,25,36,33,64,49,10.4,38,2.5,34
"01/01/2021",11,0.59,2,8,26,33,52,65,50,13.2,29,2.2,38
"01/01/2021",12,0.31,2,4,18,22,56,41,29,16.4,19,3.3,42
"01/01/2021",13,0.2,2,3,13,16,62,26,12,19.2,13,4.9,42
"01/01/2021",14,0.07,1,1,7,8,62,31,11,21.7,8,5.1,40
"01/01/2021",15,0.08,1,0,4,4,52,16,4,23.1,6,3.7,18
"01/01/2021",17,0.09,1,1,6,7,46,24,1,22.7,8,3.6,342
"01/01/2021",18,0.09,1,1,7,7,43,25,2,20.9,8,4.1,343
"01/01/2021",19,0.17,1,0,11,11,36,24,3,18.4,11,2.9,15
"01/01/2021",20,0.28,1,2,17,19,31,31,12,16.2,20,3.2,41
"01/01/2021",21,0.5,2,2,31,33,22,56,23,14.2,30,3,41
"01/01/2021",22,0.67,2,2,43,44,11,46,20,12.9,32,2.3,38
"01/01/2021",23,0.61,2,2,39,41,13,43,21,12,32,3.4,39
"01/01/2021",24,0.62,2,3,41,44,10,43,26,11.3,32,2.5,41
"02/01/2021",4,0.49,1,4,31,35,6,41,25,6.8,44,2.2,317
"02/01/2021",5,0.45,2,18,32,50,3,47,29,6.8,43,2.8,321
"02/01/2021",6,0.38,1,9,31,41,4,44,26,6.7,41,1.7,332
"02/01/2021",7,0.53,2,26,32,58,2,33,17,5.9,42,1.3,13
"02/01/2021",8,0.96,3,86,34,119,2,41,18,5.8,43,1,329
"02/01/2021",9,0.88,3,73,34,107,7,48,21,8.8,35,1.2,14
"02/01/2021",10,0.72,4,39,39,79,19,56,34,11.9,28,1.1,342
"02/01/2021",11,0.79,6,47,48,95,27,75,40,13.7,25,2.1,348
"02/01/2021",12,0.65,5,26,38,64,37,62,36,16.6,17,1.7,6
"02/01/2021",13,0.46,3,13,29,42,47,49,24,19.5,10,1.4,344
"02/01/2021",14,0.19,2,5,18,23,56,32,18,21,7,2.3,30
"02/01/2021",15,0.17,2,4,16,20,66,32,16,21.8,7,2.4,36
"02/01/2021",16,0.22,2,6,18,24,72,34,13,22.9,8,2.1,33
"02/01/2021",17,0.25,2,3,21,24,75,32,14,23.3,8,2,36
"02/01/2021",18,0.26,2,2,22,24,64,53,12,22,11,4.4,43
"02/01/2021",19,0.43,2,3,32,35,39,75,21,19.3,17,3.6,44
"02/01/2021",20,0.55,2,2,38,40,27,72,23,17.5,20,3.4,43
"02/01/2021",21,0.68,3,9,45,54,16,68,29,16.4,20,1.6,36
"02/01/2021",22,0.98,3,31,54,85,6,65,32,15.2,22,1.1,327
"02/01/2021",23,0.93,19,18,52,70,4,60,29,13.3,28,2.1,319
"02/01/2021",24,0.72,22,11,47,59,8,48,19,12.6,29,1.1,324
"03/01/2021",1,1.05,13,33,48,81,3,57,31,11.2,33,1.1,344
"03/01/2021",2,0.69,10,19,43,62,3,49,30,10.2,36,1.1,319
"03/01/2021",3,0.38,6,1,28,29,12,40,22,9.1,39,2.1,318
"03/01/2021",4,0.4,5,3,32,34,8,39,19,8.6,41,1.3,319
"03/01/2021",5,0.35,3,2,27,28,10,30,15,7.8,44,2,316
"03/01/2021",6,0.39,2,5,29,34,7,27,14,7.2,42,1.7,317
"03/01/2021",7,0.45,2,9,30,39,6,18,8,6.4,40,1.1,317
"03/01/2021",8,1.05,3,72,34,106,2,38,18,6.8,41,0.8,333
"03/01/2021",9,0.87,2,51,32,83,8,36,17,10,33,0.9,320
"03/01/2021",10,0.71,2,30,37,67,23,38,21,13.5,27,1.2,28
"03/01/2021",11,0.77,3,22,43,65,36,51,30,16,23,1.6,31
"03/01/2021",12,0.71,2,18,39,57,47,46,27,18.4,18,2.1,36
"03/01/2021",13,0.38,2,9,27,36,55,33,19,20.5,13,2.3,40
"03/01/2021",14,0.32,2,7,23,30,58,28,16,22.6,11,2.1,30
"03/01/2021",16,0.09,1,2,11,12,56,19,5,24.5,11,2.8,332
"03/01/2021",17,0.06,1,1,8,10,43,22,5,24.5,12,3.8,322
"03/01/2021",18,0.05,1,2,8,11,30,24,16,23.2,13,5.2,319
"03/01/2021",19,0.3,4,4,19,23,32,27,8,21.1,15,2.8,335
"03/01/2021",20,0.4,5,15,41,56,19,46,4,19.4,17,2.9,355
"03/01/2021",21,0.28,4,21,51,72,9,63,19,18,18,2.8,350
"03/01/2021",22,0.42,7,6,42,49,16,63,18,16.5,19,2.1,326
"03/01/2021",23,0.53,3,9,45,54,8,53,19,14.8,23,2.1,318
"03/01/2021",24,0.38,1,5,29,33,8,33,11,12.7,32,2.3,316
"04/01/2021",1,0.26,1,1,22,23,12,33,12,11.5,34,2.2,317
"04/01/2021",2,0.28,1,1,23,24,12,27,12,10.8,36,1.9,322
"04/01/2021",3,0.24,2,1,23,24,12,30,15,9.9,37,1.5,316
"04/01/2021",4,0.33,2,9,29,39,6,33,14,9.4,38,1,328
"04/01/2021",5,0.28,2,11,29,40,5,40,23,8.9,41,1.3,319
"04/01/2021",6,0.34,2,14,30,44,4,31,14,8,43,1.5,318
"04/01/2021",7,0.75,3,64,37,101,2,38,14,7.5,44,1.6,318
"04/01/2021",8,1.54,5,178,47,225,2,60,19,7.5,44,0.8,322
"04/01/2021",9,1.88,7,187,49,236,3,92,30,10.2,38,1.2,318
"04/01/2021",10,1.54,11,121,61,183,8,101,40,12.9,32,1.4,328
"04/01/2021",11,1.01,18,57,60,117,21,122,53,15.5,26,1.3,360
"04/01/2021",12,0.69,9,22,39,61,39,74,32,17.3,21,2.1,348
"04/01/2021",13,0.48,6,13,28,41,52,59,28,18.7,18,1.8,340
"04/01/2021",14,0.38,6,11,26,37,59,51,27,20.1,17,1.6,9
"04/01/2021",15,0.41,5,8,28,37,65,47,19,21.3,15,1.7,11
"04/01/2021",16,0.31,4,6,25,31,72,52,20,21.9,15,2.1,339
"04/01/2021",17,0.43,4,4,21,25,75,42,14,22.2,15,1.3,340
"04/01/2021",18,0.55,4,8,36,44,53,24,1,21.3,16,2.1,337
"06/01/2021",1,0.62,17,13,41,54,4,49,19,13.3,44,1.7,320
"06/01/2021",2,0.42,6,5,35,40,6,44,18,12,49,1.7,316
"06/01/2021",3,0.5,5,9,34,43,4,45,23,11,53,1.6,316
"06/01/2021",4,0.47,4,11,35,46,2,39,17,10.3,55,2.1,316
"06/01/2021",5,0.59,6,26,35,61,2,48,27,10,57,1.1,333
"06/01/2021",6,0.47,4,27,31,59,1,32,15,9.3,60,1.4,318
"06/01/2021",7,0.75,5,61,33,94,2,38,14,8.6,62,1.6,316
"06/01/2021",8,1.19,6,101,35,135,2,52,24,8.5,62,1.8,316
"06/01/2021",9,1.62,8,132,44,176,4,72,28,10.7,55,1.4,321
"06/01/2021",10,2.05,31,171,77,247,8,149,64,13.8,45,1.4,343
"06/01/2021",11,1.03,17,49,62,111,24,98,49,16.6,37,1.9,36
"06/01/2021",12,0.78,6,22,46,68,39,59,24,18.1,32,2.2,37
"06/01/2021",13,0.58,5,13,34,47,48,60,32,19.2,28,2.5,330
"06/01/2021",14,0.48,5,9,34,43,59,56,30,19.7,27,2,332
"06/01/2021",15,0.43,4,5,29,33,69,56,33,20.5,26,1.7,10
"06/01/2021",16,0.33,2,4,19,23,65,42,23,20.7,25,2.2,39
"06/01/2021",17,0.29,2,7,19,26,59,46,29,20.7,25,1.5,20
"06/01/2021",18,0.29,2,8,20,28,41,34,16,21,23,2.7,320
"06/01/2021",19,0.39,1,5,22,27,26,33,12,19.3,26,3.4,316
"06/01/2021",20,0.61,2,18,30,48,14,34,12,17.7,30,1.4,325
"06/01/2021",21,0.51,2,20,29,49,11,40,14,17,31,1.9,326
