V1,V2,V3,V4,V5,V6,V7,V8,V9
18,8,398,215,4209,12,70,1,chevrolet chevelle malibu
15,8,492,133,3145,11.5,70,1,buick skylark 320
18,8,371,139,2332,11,70,1,plymouth satellite
16,8,117,93,3219,12,70,1,amc rebel sst
17,8,200,148,4723,10.5,70,1,ford torino
15,8,175,140,3311,10,70,1,ford galaxie 500
14,8,243,168,3046,9,70,1,chevrolet impala
14,8,225,149,2842,8.5,70,1,plymouth fury iii
14,8,400,47,3221,10,70,1,pontiac catalina
15,8,141,149,3750,8.5,70,1,amc ambassador dpl
NA,4,469,77,2266,17.5,70,2,citroen ds-21 pallas
NA,8,84,192,3298,11.5,70,1,chevrolet chevelle concours (sw)
NA,8,275,209,2524,11,70,1,ford torino (sw)
NA,8,298,211,4162,10.5,70,1,plymouth satellite (sw)
NA,8,413,201,1766,11,70,1,amc rebel sst (sw)
15,8,312,217,4928,10,70,1,dodge challenger se
14,8,141,229,5014,8,70,1,plymouth 'cuda 340
NA,8,292,211,2073,8,70,1,ford mustang boss 302
15,8,479,181,4260,9.5,70,1,chevrolet monte carlo
14,8,193,108,3100,10,70,1,buick estate wagon (sw)
24,4,106,141,2883,15,70,2,toyota corona mark ii
22,6,281,109,3394,15.5,70,1,plymouth duster
18,6,161,199,2473,15.5,70,1,amc hornet
21,6,476,130,3400,16,70,1,ford maverick
27,4,108,110,2251,14.5,70,2,datsun pl510
26,4,195,60,1831,20.5,70,2,volkswagen 1131 deluxe sedan
25,4,106,143,2735,17.5,70,2,peugeot 504
24,4,454,127,2525,14.5,70,2,audi 100 ls
25,4,258,79,2082,17.5,70,2,saab 99e
26,4,174,86,3392,12.5,70,2,bmw 2002
21,6,173,160,4541,15,70,1,amc gremlin
10,8,199,82,4723,14,70,1,ford f250
10,8,484,109,1789,15,70,1,chevy c20
11,8,488,56,4021,13.5,70,1,dodge d200
9,8,88,123,3958,18.5,70,1,hi 1200d
27,4,401,73,2946,14.5,71,2,datsun pl510
28,4,113,229,2773,15.5,71,1,chevrolet vega 2300
25,4,316,66,3183,14,71,2,toyota corona
25,4,227,111,3617,19,71,1,ford pinto
NA,4,425,157,3120,20,71,2,volkswagen super beetle 117
19,6,399,99,1773,13,71,1,amc gremlin
16,6,278,47,1825,15.5,71,1,plymouth satellite custom
17,6,136,180,2215,15.5,71,1,chevrolet chevelle malibu
19,6,164,187,4778,15.5,71,1,ford torino 500
18,6,307,150,2730,15.5,71,1,amc matador
14,8,340,96,5022,12,71,1,chevrolet impala
14,8,485,190,5013,11.5,71,1,pontiac catalina brougham
14,8,214,227,2295,13.5,71,1,ford galaxie 500
14,8,143,187,1750,13,71,1,plymouth fury iii
12,8,271,224,3659,11.5,71,1,dodge monaco (sw)
13,8,99,81,2360,12,71,1,ford country squire (sw)
